image,action
E:/Project 103/Trimmed Data\train_frames\death_100_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_100_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_101_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_101_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_11_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_13_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_13_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_15_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_15_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_18_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_18_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_19_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_22_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_23_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_24_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_25_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_27_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_27_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_28_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_29_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_29_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_2_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_2_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_2_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_30_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_31_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_32_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_32_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_35_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_38_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_39_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_39_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_3_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_3_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_43_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_43_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_44_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_44_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_44_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_47_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_47_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_47_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_49_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_49_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_50_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_50_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_51_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_53_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_59_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_59_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_5_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_5_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_60_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_60_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_61_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_61_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_63_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_63_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_64_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_64_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_67_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_67_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_6_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_6_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_70_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_70_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_72_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_73_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_73_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_74_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_74_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_74_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_75_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_75_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_75_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_76_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_76_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_76_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_78_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_78_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_78_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_79_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_79_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_7_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_80_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_80_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_80_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_83_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_83_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_84_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_84_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_86_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_86_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_87_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_87_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_88_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_88_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_88_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_89_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_89_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_89_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_90_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_90_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_91_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_91_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_92_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_92_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_93_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_93_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_94_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_94_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_95_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_95_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_97_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_97_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_99_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_99_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\Kill_100_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_100_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_102_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_103_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_103_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_104_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_11_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_12_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_12_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_13_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_13_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_15_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_15_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_16_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_16_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_17_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_17_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_18_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_18_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_20_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_20_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_21_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_27_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_27_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_28_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_28_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_2_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_2_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_31_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_34_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_34_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_36_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_36_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_38_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_38_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_39_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_39_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_42_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_42_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_43_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_43_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_45_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_45_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_45_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_46_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_46_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_47_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_48_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_48_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_50_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_52_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_52_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_52_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_53_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_53_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_53_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_55_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_55_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_56_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_56_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_57_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_57_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_59_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_59_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_59_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_61_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_61_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_62_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_62_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_63_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_63_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_64_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_64_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_65_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_65_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_66_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_66_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_68_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_68_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_69_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_69_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_6_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_70_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_70_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_71_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_71_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_72_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_72_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_74_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_74_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_74_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_75_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_75_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_76_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_76_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_77_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_77_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_78_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_78_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_79_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_7_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_80_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_80_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_80_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_80_frame3_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_84_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_84_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_84_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_85_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_86_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_86_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_8_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_8_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_8_frame2_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_90_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_90_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_91_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_91_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_92_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_92_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_95_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_95_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_96_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_96_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_99_frame0_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\Kill_99_frame1_kill.jpg,kill
E:/Project 103/Trimmed Data\train_frames\NoAction_0_frame0_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_0_frame1_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_0_frame2_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_100_frame0_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_100_frame1_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_100_frame2_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_100_frame3_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_100_frame4_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_100_frame5_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_10_frame0_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_10_frame1_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_10_frame2_NoAction.jpg,NoAction
E:/Project 103/Trimmed Data\train_frames\NoAction_10_frame3_NoAction.jpg,NoAction
